strain	date	country	division	author	author__url	accession	accession__url
EM_079702	2014-05-14	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817210	https://www.ncbi.nlm.nih.gov/nuccore/KR817210
EM_079685	2014-05-11	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817209	https://www.ncbi.nlm.nih.gov/nuccore/KR817209
EM_079731	2014-05-18	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817211	https://www.ncbi.nlm.nih.gov/nuccore/KR817211
EM_079915	2014-06-10	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817226	https://www.ncbi.nlm.nih.gov/nuccore/KR817226
EM_079772	2014-05-24	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817215	https://www.ncbi.nlm.nih.gov/nuccore/KR817215
EM_079681	2014-05-11	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817208	https://www.ncbi.nlm.nih.gov/nuccore/KR817208
EM_079753	2014-05-22	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817214	https://www.ncbi.nlm.nih.gov/nuccore/KR817214
EM_079749	2014-05-21	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817212	https://www.ncbi.nlm.nih.gov/nuccore/KR817212
V1690	2014-10-25	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534574	https://www.ncbi.nlm.nih.gov/nuccore/KR534574
EM_COY_2015_013857	2015-03-18	Guinea	Forecariah	Quick et al		EM_COY_2015_013857	https://github.com/nickloman/ebov/
V1129	2014-09-25	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534581	https://www.ncbi.nlm.nih.gov/nuccore/KR534581
V1333	2014-10-07	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534549	https://www.ncbi.nlm.nih.gov/nuccore/KR534549
V1277	2014-10-04	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534543	https://www.ncbi.nlm.nih.gov/nuccore/KR534543
V1436	2014-10-13	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534558	https://www.ncbi.nlm.nih.gov/nuccore/KR534558
V1648	2014-10-23	Guinea	Kindia	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534569	https://www.ncbi.nlm.nih.gov/nuccore/KR534569
V1047	2014-09-20	Guinea	Kindia	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534528	https://www.ncbi.nlm.nih.gov/nuccore/KR534528
V1193	2014-09-28	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534537	https://www.ncbi.nlm.nih.gov/nuccore/KR534537
V1213	2014-10-02	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534583	https://www.ncbi.nlm.nih.gov/nuccore/KR534583
V1689	2014-10-25	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534573	https://www.ncbi.nlm.nih.gov/nuccore/KR534573
V1686	2014-10-24	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534572	https://www.ncbi.nlm.nih.gov/nuccore/KR534572
V1278	2014-10-04	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534544	https://www.ncbi.nlm.nih.gov/nuccore/KR534544
V1298	2014-10-06	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534545	https://www.ncbi.nlm.nih.gov/nuccore/KR534545
V1374	2014-10-10	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534556	https://www.ncbi.nlm.nih.gov/nuccore/KR534556
V1316	2014-10-07	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534546	https://www.ncbi.nlm.nih.gov/nuccore/KR534546
V1551	2014-10-18	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534562	https://www.ncbi.nlm.nih.gov/nuccore/KR534562
V1320	2014-10-07	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534590	https://www.ncbi.nlm.nih.gov/nuccore/KR534590
V1652	2014-10-24	Guinea	Coyah	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534571	https://www.ncbi.nlm.nih.gov/nuccore/KR534571
